user,Behavior_anxious,Behavior_critical,Behavior_days,Behavior_null,Behavior_calm,Behavior_conventional,Behavior_dependable,Behavior_disorganized,Behavior_enthusiastic,Behavior_experiences,Behavior_reserved,Behavior_sympathetic
u00,2.3333333333333335,1.619047619047619,134 days,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u01,0.25,0.25,22 days,2.25,1.25,1.25,0.75,0.5,0.75,0.75,1.25,0.75
u02,1.0,1.6666666666666667,21 days,0.3333333333333333,3.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,3.3333333333333335,2.0,1.3333333333333333,3.0
u03,1.0,1.7,46 days,0.0,2.1,0.0,2.5,0.9,2.0,2.3,2.2,1.7
u04,1.4,1.4,13 days,1.7,1.0,1.3,1.2,1.1,1.2,1.2,1.4,1.2
u05,0.0,0.0,1 days,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u07,0.46551724137931033,0.41379310344827586,23 days,0.0,0.8620689655172413,0.6724137931034483,0.6896551724137931,0.22413793103448276,0.7586206896551724,0.6551724137931034,0.896551724137931,0.8275862068965517
u08,1.4603174603174602,1.0476190476190477,57 days,0.0,2.142857142857143,0.0,2.142857142857143,1.380952380952381,1.492063492063492,1.6825396825396826,2.0,1.8571428571428572
u09,0.0,0.0,1 days,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u10,0.8333333333333334,1.5,27 days,0.0,1.25,0.8333333333333334,1.4166666666666667,0.9166666666666666,1.3333333333333333,1.0,1.4166666666666667,0.75
u12,1.2222222222222223,1.4444444444444444,18 days,1.7777777777777777,0.0,0.0,2.4444444444444446,0.0,1.5555555555555556,1.1111111111111112,1.5555555555555556,1.1111111111111112
u14,0.42857142857142855,0.42857142857142855,22 days,1.4285714285714286,1.8571428571428572,1.2857142857142858,1.4285714285714286,0.7142857142857143,1.2857142857142858,1.1428571428571428,1.4285714285714286,1.2857142857142858
u15,1.3333333333333333,1.6666666666666667,21 days,0.6666666666666666,2.3333333333333335,2.0,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.0,1.6666666666666667,2.0
