user,dark_duration(sec),audio_ audio inference,phonecharge_duration(sec),activity_ activity inference,dp_class
u00,0.0,0.0,0.0,0.0,0.0
u00,0.0,0.0,0.0,0.0,0.0
u00,0.0,0.0,0.0,0.0,0.0
u00,0.33516009234166416,0.20461165542949097,0.2361847956887982,0.07916666666666666,0.0
u00,0.1350296095553548,0.1898369760794139,0.11728143148642285,0.047544642857142855,0.0
u00,0.4079293385526448,0.2854785814678264,0.21275571600481347,0.07168898809523809,0.0
u00,0.09174947305028607,0.3354381819539785,0.08166169622769842,0.03210565476190476,0.0
u00,0.5909766134698384,0.24962146673999688,0.37890441061057917,0.08273809523809524,0.0
u00,0.06393656529157885,0.21961039931015283,0.0641448228954115,0.043675595238095236,0.0
u00,0.7005520425574626,0.29401340313282953,0.11764767435776696,0.07109375,0.0
u00,0.2500752785305631,0.2504566163539948,0.0,0.05848214285714286,0.0
u00,0.04194519722975008,0.1604709429042837,0.04035996442212107,0.05710565476190476,0.0
u00,0.5449563384522734,0.3353499141085966,0.35734840161146864,0.08191964285714286,0.0
u00,0.4636454883067349,0.21190393742488745,0.0,0.06875,0.0
u00,0.16392652815417044,0.15554152323141793,0.33177418510961126,0.03400297619047619,0.0
u00,0.7481180367359229,0.25239850895239646,0.2424004604196097,0.07451636904761905,0.0
u00,0.5020174646190906,0.1410112779147061,0.5012609218856275,0.043154761904761904,0.0
u00,0.039415838602830475,0.20248643730606536,0.25578402134672734,0.039248511904761904,0.0
u00,0.04019873532068654,0.2552706088444381,0.1379061371841155,0.055989583333333336,0.0
u00,0.41620997691458395,0.2772425125102696,0.18672107989326636,0.04300595238095238,0.0
u00,0.5498143129579444,0.155032285661907,0.4427771673729922,0.043712797619047616,0.0
u00,0.3248118036735923,0.13621086509278307,0.17354680060691677,0.03121279761904762,0.0
u00,0.4827762722071665,0.27058847493532684,0.1625385863025166,0.04352678571428571,0.0
u00,0.3498143129579444,0.21010463134594884,0.41693088473813633,0.02533482142857143,0.0
u00,0.22170029107698486,0.1871346220438759,0.12325642233035107,0.05040922619047619,0.0
u00,0.45055706112616684,0.17404382159031498,0.11703029351750117,0.034412202380952384,0.0
u00,0.5679112717053096,0.2989224533029149,0.6883063883220845,0.14482886904761905,0.0
u00,0.49794238683127573,0.3371288506847548,0.4016637890441061,0.16551339285714287,0.0
u00,0.355786409715949,0.1398841654275219,0.4392089153978967,0.028794642857142855,0.0
u00,0.44993475860684534,0.1015283916919588,0.120399727933867,0.04460565476190476,0.0
u00,0.2130783900431597,0.2760814508517847,0.32505624444095643,0.0630952380952381,0.0
u00,0.4501053899427883,0.1956287047033182,0.21654371370271544,0.018936011904761903,0.0
u00,0.3226939676804175,0.2201535860509645,0.5013969549521268,0.04211309523809524,0.0
u00,0.3259660744755596,0.25346451293123934,0.5486527494375556,0.05193452380952381,0.0
u00,0.07758707216701796,0.259181553378282,0.0,0.12429315476190476,0.0
u00,0.2884372177055104,0.14759741714704744,0.09126772353895254,0.050074404761904764,0.0
u00,0.24944293887383318,0.23223270119976372,0.5568251975095485,0.04884672619047619,0.0
u00,0.3070360333232962,0.1799441875623816,0.0,0.024367559523809524,0.0
u00,0.2497139415838603,0.29021109594714795,0.11716632658400042,0.12220982142857142,0.0
u00,0.04303924520726689,0.10015684517140937,0.24038089258619788,0.015513392857142858,0.0
u00,0.1704908160192713,0.2820836643377535,0.0,0.08526785714285715,0.0
u00,0.046612466124661245,0.2623116669722092,0.0,0.057254464285714284,0.0
u00,0.11492522332630734,0.3448896312441013,0.2641448228954115,0.11774553571428571,0.0
u00,0.57978520525946,0.3838021713889964,0.21990268403704286,0.1340029761904762,0.0
u00,0.18658034728495432,0.47689079909559406,0.17995081881441952,0.04921875,0.0
u00,0.5595503362441032,0.35349235125170597,0.0,0.15598958333333332,0.0
u00,0.3021780588176252,0.18978944723959287,0.4470988332548527,0.04389880952380952,0.0
u00,0.1479373682625715,0.19124926160552422,0.0,0.0454985119047619,0.0
